date,week,title,learning_objectives
2022-07-05T00:00:00Z,1,Welcome! & Data Science Life-cycle,Learners can navigate the platforms that are used to for the course
2022-07-05T00:00:00Z,1,Welcome! & Data Science Life-cycle,Learners can render a file on RStudio Cloud in PDF format
2022-07-05T00:00:00Z,1,Welcome! & Data Science Life-cycle,Learners can list the six elements of the data science lifecycle
2022-07-05T00:00:00Z,1,Welcome! & Data Science Life-cycle,"Learners can identify four components of a Quarto file (YAML, code chunk, R code, markdown)"
2022-07-12T00:00:00Z,2,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can describe the four main aesthetic mappings that can be used to visualise data using the ggplot2 R Package
2022-07-12T00:00:00Z,2,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can control the colour scaling applied to a plot using colour as an aesthetic mapping
2022-07-12T00:00:00Z,2,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can compare three different geoms and their use case
2022-07-12T00:00:00Z,2,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can apply a theme to control font types and sizes within a plot
2022-07-12T00:00:00Z,2,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can apply 12 principles for data organisation in spreadsheets in the layout of a collected dataset
2022-07-19T00:00:00Z,3,Data transformation and descriptive statistics,Learners can apply ten functions from the dplyr R Package to generate a subset of data for use in a table or plot
2022-07-26T00:00:00Z,4,"Concept of tidy data, vectors and pivoting",Learners can apply functions from the dplyr R Package to transform their data from a wide to a long format and vice versa
2022-07-26T00:00:00Z,4,"Concept of tidy data, vectors and pivoting",Learners can list the four main atomic vector types in R
2022-07-26T00:00:00Z,4,"Concept of tidy data, vectors and pivoting",Learners can explain the three characteristics of tidy data
2022-08-02T00:00:00Z,5,Joining data & data communication using Quarto,Learners can use Quarto and Netlify to publish an HTML file
2022-08-02T00:00:00Z,5,Joining data & data communication using Quarto,Learners can add literature references to Quarto files using the navigation menu of RStudio visual editor
2022-08-02T00:00:00Z,5,Joining data & data communication using Quarto,Learners can cross-reference figures and tables within an Quarto file
2022-08-02T00:00:00Z,5,Joining data & data communication using Quarto,Learners can apply functions from the dplyr R Package to join multiple data sets
