date,module,title,lecturer,summary,page_link
2024-02-22T00:00:00Z,1,[Welcome & get ready for the course](https://rbtl-fs24.github.io/website/modules/md-01.html),E. Tilley and L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-01.html
2024-02-29T00:00:00Z,2,[Data science lifecycle & Exploratory data analysis using visualization](https://rbtl-fs24.github.io/website/modules/md-02.html),L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-02.html
2024-03-07T00:00:00Z,3,[Data transformation with dplyr](https://rbtl-fs24.github.io/website/modules/md-03.html),L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-03.html
2024-03-14T00:00:00Z,4,[Data import & Data organization in spreadsheets](https://rbtl-fs24.github.io/website/modules/md-04.html),L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-04.html
2024-03-21T00:00:00Z,5,[Conditions & Dates & Tables](https://rbtl-fs24.github.io/website/modules/md-05.html),L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-05.html
2024-03-28T00:00:00Z,6,[Data types & Vectors & Pivoting](https://rbtl-fs24.github.io/website/modules/md-06.html),L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-06.html
2024-04-04T00:00:00Z,NA,Easter Break,NA,NA,NA
2024-04-11T00:00:00Z,7,[Joining tables & Creating and publishing scholarly articles with Quarto and GitHub pages](https://rbtl-fs24.github.io/website/modules/md-07.html),L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-07.html
2024-04-18T00:00:00Z,8,[Waste Research](https://rbtl-fs24.github.io/website/modules/md-08.html),E. Tilley,NA,https://rbtl-fs24.github.io/website/modules/md-08.html
2024-04-25T00:00:00Z,9,[Research Design](https://rbtl-fs24.github.io/website/modules/md-09.html),E. Tilley,NA,https://rbtl-fs24.github.io/website/modules/md-09.html
2024-05-02T00:00:00Z,10,[Questionnaires](https://rbtl-fs24.github.io/website/modules/md-10.html),E. Tilley,NA,https://rbtl-fs24.github.io/website/modules/md-10.html
2024-05-09T00:00:00Z,NA,Auffahrt Break,NA,NA,NA
2024-05-16T00:00:00Z,11,[Pre-test and logistics](https://rbtl-fs24.github.io/website/modules/md-11.html),E. Tilley,NA,https://rbtl-fs24.github.io/website/modules/md-11.html
2024-05-23T00:00:00Z,NA,Data collection,E. Tilley,NA,NA
2024-05-30T00:00:00Z,12,[Data analysis & report writing](https://rbtl-fs24.github.io/website/modules/md-12.html),E. Tilley and L. Schöbitz,NA,https://rbtl-fs24.github.io/website/modules/md-12.html
2024-06-06T00:00:00Z,NA,Project Submission Deadline,All,NA,NA
2024-06-13T00:00:00Z,NA,Exam,All,NA,NA
