date,week,title,module,page_link
2023-10-31T00:00:00Z,1,[Welcome & get ready for the course](https://ds4owd-001.github.io/website/modules/md-01.html),module 1,https://ds4owd-001.github.io/website/modules/md-01.html
2023-11-07T00:00:00Z,2,[Data science lifecycle & Exploratory data analysis using visualization](https://ds4owd-001.github.io/website/modules/md-02.html),module 2,https://ds4owd-001.github.io/website/modules/md-02.html
2023-11-14T00:00:00Z,3,[Data transformation with dplyr](https://ds4owd-001.github.io/website/modules/md-03.html),module 3,https://ds4owd-001.github.io/website/modules/md-03.html
2023-11-21T00:00:00Z,4,[Data import & Data organization in spreadsheets](https://ds4owd-001.github.io/website/modules/md-04.html),module 4,https://ds4owd-001.github.io/website/modules/md-04.html
2023-11-28T00:00:00Z,5,[Conditions & Dates & Tables](https://ds4owd-001.github.io/website/modules/md-05.html),module 5,https://ds4owd-001.github.io/website/modules/md-05.html
2023-12-05T00:00:00Z,6,[Concept of tidy data & Vectors in R](https://ds4owd-001.github.io/website/modules/md-06.html),module 6,https://ds4owd-001.github.io/website/modules/md-06.html
2023-12-12T00:00:00Z,7,[Joining data & wrting functions](https://ds4owd-001.github.io/website/modules/md-07.html),module 7,https://ds4owd-001.github.io/website/modules/md-07.html
2023-12-19T00:00:00Z,8,[Using AI for software development in R](https://ds4owd-001.github.io/website/modules/md-08.html),module 8,https://ds4owd-001.github.io/website/modules/md-08.html
2023-12-26T00:00:00Z,9,Break,NA,NA
2024-01-02T00:00:00Z,10,Break,NA,NA
2024-01-09T00:00:00Z,11,Break,NA,NA
2024-01-16T00:00:00Z,12,[Personal website development with Quarto and publication of capstone project](https://ds4owd-001.github.io/website/modules/md-09.html),module 9,https://ds4owd-001.github.io/website/modules/md-09.html
2024-01-23T00:00:00Z,13,Work on Capstone project,NA,NA
2024-01-30T00:00:00Z,14,[Final submission date of Capstone project](https://ds4owd-001.github.io/website/modules/md-10.html),module 10,https://ds4owd-001.github.io/website/modules/md-10.html
2024-02-06T00:00:00Z,15,Graduation party of openwashdata academy,NA,NA
