date,week,title,learning_objectives
2023-06-05T00:00:00Z,1,Get ready for the course,Learners can access the Posit Cloud workspace for the course.
2023-06-05T00:00:00Z,1,Get ready for the course,Learners have understood the grading scheme for the course.
2023-06-05T00:00:00Z,1,Get ready for the course,Learners can open an issue on GitHub and tag the course instructor.
2023-06-12T00:00:00Z,2,Welcome! & Data Science Life-cycle,"Learners can navigate the platforms (Posit Cloud, GitHub, Course Website) that are used to for the course."
2023-06-12T00:00:00Z,2,Welcome! & Data Science Life-cycle,"Learners can render a Quarto file to an output file in HTML, PDF and DOCX format."
2023-06-12T00:00:00Z,2,Welcome! & Data Science Life-cycle,Learners can list the six elements of the data science lifecycle.
2023-06-12T00:00:00Z,2,Welcome! & Data Science Life-cycle,"Learners can identify four components of a Quarto file (YAML, code chunk, R code, markdown)."
2023-06-19T00:00:00Z,3,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can describe the four main aesthetic mappings that can be used to visualise data using the ggplot2 R Package.
2023-06-19T00:00:00Z,3,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can control the colour scaling applied to a plot using colour as an aesthetic mapping.
2023-06-19T00:00:00Z,3,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can compare three different geoms and their use case.
2023-06-19T00:00:00Z,3,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can apply a theme to control font types and sizes within a plot.
2023-06-19T00:00:00Z,3,Exploratory data analysis using visualization & Data organization in spreadsheets,Learners can apply 12 principles for data organisation in spreadsheets in the layout of a collected dataset.
2023-06-26T00:00:00Z,4,Data transformation and descriptive statistics,Learners can apply ten functions from the dplyr R Package to generate a subset of data for use in a table or plot.
2023-07-03T00:00:00Z,5,"Concept of tidy data, vectors and pivoting",Learners can apply functions from the dplyr R Package to transform their data from a wide to a long format and vice versa.
2023-07-03T00:00:00Z,5,"Concept of tidy data, vectors and pivoting",Learners can list the four main atomic vector types in R.
2023-07-03T00:00:00Z,5,"Concept of tidy data, vectors and pivoting",Learners can explain the three characteristics of tidy data.
2023-07-10T00:00:00Z,6,Joining data & data communication using Quarto,Learners can use Quarto and Netlify to publish an HTML file.
2023-07-10T00:00:00Z,6,Joining data & data communication using Quarto,Learners can add literature references to Quarto files using the navigation menu of RStudio visual editor.
2023-07-10T00:00:00Z,6,Joining data & data communication using Quarto,Learners can cross-reference figures and tables within an Quarto file.
2023-07-10T00:00:00Z,6,Joining data & data communication using Quarto,Learners can apply functions from the dplyr R Package to join multiple data sets.
2023-07-17T00:00:00Z,7,Capstone Project Submission,Learners can apply the skills obtained during the course to write a short data analysis project report.
2023-07-24T00:00:00Z,8,Exam,NA
